"Story","Title","Result","Date","Stability","Duration (s)"
"Virgin games CRUD test with steps","This Will displayed all the Jackpot data ","SUCCESS","2023-06-15T16:53:52.604+01:00[Europe/London]","0.0","3.21"
"Virgin games CRUD test with steps","Verify if currency is GBP","SUCCESS","2023-06-15T16:53:55.838+01:00[Europe/London]","0.0","0.82"
